epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.75,0.0010000000474974513,0.6289888620376587,0.8700000047683716,0.35552525520324707
1,0.8912500143051147,0.0010000000474974513,0.2699856162071228,0.9649999737739563,0.10806193947792053
2,0.9700000286102295,0.0010000000474974513,0.11274604499340057,0.9150000214576721,0.5709095001220703
3,0.9399999976158142,0.0010000000474974513,0.19890804588794708,0.9549999833106995,0.17202505469322205
4,0.9762499928474426,0.0010000000474974513,0.08072513341903687,0.9800000190734863,0.05945665016770363
5,0.9912499785423279,0.0010000000474974513,0.026541469618678093,0.9750000238418579,0.03250381350517273
6,0.987500011920929,0.0010000000474974513,0.04416315257549286,0.9950000047683716,0.010702711530029774
7,0.9987499713897705,0.0010000000474974513,0.0034721000120043755,0.9950000047683716,0.0232625063508749
8,0.9937499761581421,0.0010000000474974513,0.016808779910206795,0.9900000095367432,0.020986283197999
9,0.9975000023841858,0.0010000000474974513,0.01042493712157011,0.9850000143051147,0.045850351452827454
10,0.9937499761581421,0.0010000000474974513,0.018268058076500893,0.9850000143051147,0.03581425920128822
11,0.9900000095367432,0.0010000000474974513,0.0497061125934124,1.0,0.014005486853420734
12,0.9975000023841858,0.00020000000949949026,0.006139364093542099,1.0,0.004334892146289349
13,1.0,0.00020000000949949026,0.001593923312611878,1.0,0.0016791949747130275
14,1.0,0.00020000000949949026,0.00041252776281908154,1.0,0.0011564471060410142
15,1.0,0.00020000000949949026,0.0001914050808409229,1.0,0.0010793583933264017
16,1.0,0.00020000000949949026,7.701330468989909e-05,1.0,0.0004025945090688765
17,1.0,0.00020000000949949026,5.1810267905239016e-05,1.0,0.0003845103201456368
18,1.0,0.00020000000949949026,3.644598109531216e-05,1.0,0.0002518906258046627
19,1.0,0.00020000000949949026,2.2869005988468416e-05,1.0,0.0002547705371398479
20,1.0,0.00020000000949949026,1.636591878195759e-05,1.0,0.00018431413627695292
21,1.0,0.00020000000949949026,1.2269479157112073e-05,1.0,0.00016908023098949343
22,1.0,0.00020000000949949026,9.415593012818135e-06,1.0,0.00013606778520625085
23,1.0,0.00020000000949949026,7.108435966074467e-06,1.0,0.00010364456829847768
24,1.0,0.00020000000949949026,5.292356490826933e-06,1.0,0.00010400533938081935
25,1.0,0.00020000000949949026,4.057460500916932e-06,1.0,8.029327727854252e-05
26,1.0,0.00020000000949949026,3.1127469810598996e-06,1.0,5.917900853091851e-05
27,1.0,0.00020000000949949026,2.4933135591709288e-06,1.0,5.3928481065668166e-05
28,1.0,4.0000002627493814e-05,2.1526136606553337e-06,1.0,5.3019826736999676e-05
29,1.0,4.0000002627493814e-05,2.0787490484508453e-06,1.0,5.227771180216223e-05
